Client,Industry,Platform,Content_Type,Topic,Posting_Day,Posting_Time,Reach,Likes,Comments,Shares,Saves,Clicks,Leads,Ad_Spend,Revenue,Performance_Score
Client_001,Beauty,Instagram,Reel,Customer Story,Tuesday,11,11965,1087,79,66,93,68,3,4639,2815,16.94
Client_002,Fitness,Instagram,Static,Tips & Tricks,Thursday,11,15775,1622,33,251,189,213,10,3257,4299,28.77
Client_003,Education,Instagram,Carousel,Customer Story,Friday,12,6423,502,39,49,50,165,17,3462,15872,10.4
Client_004,Beauty,Instagram,Reel,Behind the Scenes,Sunday,12,9517,1027,43,111,135,86,6,2687,6392,17.69
Client_005,Fitness,YouTube Shorts,Reel,Tips & Tricks,Saturday,11,23041,1251,94,174,80,301,36,958,17686,27.54
Client_006,Technology,Facebook,Carousel,Product Education,Tuesday,22,17358,1012,60,102,142,285,17,2520,21802,20.16
Client_007,Fitness,Facebook,Static,Tips & Tricks,Thursday,22,7634,379,30,44,18,47,2,1810,5580,5.5
Client_008,Fitness,Instagram,Carousel,Promotion,Friday,15,22338,2400,49,344,275,411,25,3286,11504,43.77
Client_009,Education,Instagram,Carousel,Product Education,Saturday,22,13630,1031,27,135,136,241,12,3563,13683,18.56
Client_010,Fitness,YouTube Shorts,Reel,Tips & Tricks,Wednesday,15,22367,2439,170,219,113,602,86,1201,89895,51.21
Client_011,Fashion,YouTube Shorts,Reel,Behind the Scenes,Saturday,15,18356,1422,80,249,202,438,49,3053,35301,36.35
Client_012,Education,YouTube Shorts,Carousel,Product Education,Tuesday,11,6689,554,18,43,26,138,7,757,10616,7.07
Client_013,Fashion,YouTube Shorts,Reel,Customer Story,Saturday,15,12918,1228,89,153,81,217,17,1272,9464,23.45
Client_014,Technology,Facebook,Carousel,Promotion,Sunday,19,14032,1663,43,170,128,372,22,2058,21253,26.78
Client_015,Food,Facebook,Reel,Customer Story,Thursday,11,12825,497,29,59,20,94,11,2436,7949,8.29
Client_016,Education,Facebook,Reel,Promotion,Monday,10,3793,204,13,22,17,109,16,4486,8083,4.5
Client_017,Technology,Instagram,Reel,Tips & Tricks,Saturday,16,8746,307,16,35,41,78,11,1156,13853,5.88
Client_018,Fashion,YouTube Shorts,Reel,Behind the Scenes,Thursday,9,31212,2606,148,272,271,563,80,2173,77373,56.93
Client_019,Food,Facebook,Carousel,Behind the Scenes,Saturday,18,10491,1191,90,60,129,200,8,4904,7888,20.03
Client_020,Technology,Instagram,Carousel,Product Education,Tuesday,13,14338,1506,93,195,223,306,9,2952,9209,30.37
Client_021,Food,Facebook,Reel,Product Education,Saturday,16,9327,787,49,60,86,108,9,916,6565,13.4
Client_022,Technology,Instagram,Reel,Customer Story,Sunday,10,16978,1352,61,69,65,459,63,4969,21042,26.27
Client_023,Fitness,YouTube Shorts,Reel,Promotion,Tuesday,8,9133,1012,32,83,51,223,30,3829,27816,17.03
Client_024,Food,Instagram,Reel,Promotion,Monday,10,19856,2029,145,315,140,490,21,817,27564,40.95
Client_025,Food,Instagram,Carousel,Customer Story,Wednesday,21,12457,1113,48,95,53,303,21,4673,18231,17.85
Client_026,Technology,Instagram,Reel,Customer Story,Tuesday,17,17122,1432,58,218,126,506,22,2057,11583,27.58
Client_027,Beauty,Facebook,Reel,Tips & Tricks,Sunday,16,11208,406,24,37,30,293,34,2960,28679,10.35
Client_028,Beauty,Facebook,Carousel,Promotion,Saturday,12,5085,344,26,47,47,103,6,4988,6621,6.6
Client_029,Technology,Facebook,Reel,Promotion,Sunday,17,17157,1232,57,95,113,472,59,1890,55210,26.91
Client_030,Technology,YouTube Shorts,Static,Tips & Tricks,Wednesday,9,12936,649,20,34,43,218,28,1096,23443,11.3
Client_031,Beauty,YouTube Shorts,Reel,Promotion,Thursday,14,34371,3158,232,511,433,840,47,4743,34486,74.45
Client_032,Fitness,Instagram,Reel,Promotion,Tuesday,20,25281,3006,167,521,414,513,59,4635,44962,71.05
Client_033,Education,Instagram,Static,Promotion,Thursday,12,10480,575,38,64,38,167,19,2420,12783,11.36
Client_034,Technology,YouTube Shorts,Reel,Behind the Scenes,Tuesday,11,13758,1287,30,132,128,211,11,3941,11912,20.16
Client_035,Beauty,Instagram,Static,Promotion,Thursday,8,13220,1412,109,147,172,246,25,2306,20522,29.81
Client_036,Technology,Facebook,Carousel,Product Education,Thursday,13,14864,1570,118,278,155,411,41,722,17246,38.1
Client_037,Food,Facebook,Reel,Product Education,Wednesday,14,8083,480,31,47,58,208,12,1170,8930,9.17
Client_038,Beauty,YouTube Shorts,Reel,Customer Story,Tuesday,18,34195,1149,25,94,152,702,41,4379,39272,22.79
Client_039,Fitness,Instagram,Carousel,Customer Story,Sunday,13,10498,1225,77,185,71,134,13,3055,13981,22.94
Client_040,Education,YouTube Shorts,Reel,Product Education,Friday,19,36056,3588,254,459,191,1067,132,3344,108449,82.74
Client_041,Beauty,Facebook,Reel,Tips & Tricks,Saturday,13,21148,2199,57,384,241,543,62,4067,30934,48.77
Client_042,Beauty,Facebook,Static,Tips & Tricks,Sunday,15,8108,675,26,55,96,97,8,4306,11663,11.16
Client_043,Beauty,Facebook,Carousel,Product Education,Thursday,21,5979,293,19,27,40,134,8,583,7797,5.18
Client_044,Fashion,Instagram,Static,Promotion,Thursday,16,10299,907,44,138,45,108,12,3008,15912,15.97
Client_045,Technology,Facebook,Static,Tips & Tricks,Wednesday,14,6735,628,22,51,33,66,2,4889,3576,7.59
Client_046,Food,Instagram,Static,Promotion,Wednesday,19,19455,1628,128,257,118,272,18,4875,9069,33.74
Client_047,Fashion,Instagram,Static,Customer Story,Saturday,10,16868,1377,66,147,83,106,15,4413,6025,22.74
Client_048,Education,Facebook,Reel,Tips & Tricks,Saturday,18,6856,706,54,43,47,129,10,2348,14720,11.45
Client_049,Education,Facebook,Carousel,Customer Story,Sunday,17,8003,687,38,100,99,81,4,1165,3604,13.04
Client_050,Food,YouTube Shorts,Reel,Behind the Scenes,Monday,14,31822,2300,50,201,163,842,32,2412,40439,35.66
Client_051,Beauty,YouTube Shorts,Static,Behind the Scenes,Thursday,9,21776,945,33,64,43,540,54,2864,38764,19.33
Client_052,Education,YouTube Shorts,Carousel,Promotion,Wednesday,16,20344,757,16,80,57,229,9,669,11504,11.03
Client_053,Fitness,Instagram,Reel,Promotion,Friday,18,24362,2916,134,454,427,408,32,3130,30808,62.3
Client_054,Food,Facebook,Carousel,Promotion,Wednesday,18,16329,543,13,44,28,397,53,509,53363,13.81
Client_055,Education,Facebook,Reel,Behind the Scenes,Friday,13,16557,1629,52,197,231,264,30,1494,13357,32.38
Client_056,Food,YouTube Shorts,Reel,Customer Story,Friday,8,11317,568,40,36,81,239,11,2890,10720,10.52
Client_057,Education,Facebook,Carousel,Behind the Scenes,Thursday,16,9284,1048,52,172,141,110,13,3899,11933,21.79
Client_058,Technology,Instagram,Carousel,Customer Story,Sunday,17,24002,2589,121,292,198,577,43,3136,50565,48.03
Client_059,Beauty,Instagram,Static,Promotion,Tuesday,21,14768,1432,89,222,118,318,40,1746,30583,32.07
Client_060,Food,YouTube Shorts,Static,Customer Story,Sunday,9,18587,2080,43,142,282,543,21,2671,15772,33.45
Client_061,Beauty,Instagram,Carousel,Tips & Tricks,Thursday,13,20989,697,16,92,98,628,75,4055,27073,22.34
Client_062,Education,Instagram,Static,Customer Story,Monday,8,12503,705,29,48,69,239,29,1892,13087,13.7
Client_063,Fitness,Facebook,Static,Behind the Scenes,Thursday,22,4275,305,10,25,12,107,14,4977,6359,4.73
Client_064,Education,Facebook,Static,Customer Story,Saturday,14,8387,401,17,45,26,161,15,2918,7322,7.15
Client_065,Technology,Instagram,Static,Product Education,Friday,19,17020,1698,57,261,108,166,9,1620,8832,28.5
Client_066,Beauty,YouTube Shorts,Reel,Customer Story,Sunday,15,22443,2152,54,190,263,210,9,4918,13320,33.94
Client_067,Fitness,YouTube Shorts,Carousel,Behind the Scenes,Wednesday,22,15671,1523,61,98,222,133,19,3755,25769,26.65
Client_068,Technology,Instagram,Carousel,Product Education,Wednesday,16,9049,819,49,103,106,257,11,2415,8257,16.08
Client_069,Fitness,YouTube Shorts,Carousel,Tips & Tricks,Tuesday,18,21213,2372,90,244,131,607,40,4535,15516,40.36
Client_070,Food,YouTube Shorts,Reel,Promotion,Thursday,13,31556,3054,89,317,155,543,42,2791,14921,49.04
Client_071,Food,Facebook,Carousel,Behind the Scenes,Sunday,13,14234,1124,88,108,94,138,6,4225,3795,19.73
Client_072,Beauty,YouTube Shorts,Static,Product Education,Monday,20,8100,816,26,128,82,159,20,2408,12928,16.22
Client_073,Fitness,Instagram,Carousel,Behind the Scenes,Tuesday,16,13213,527,37,35,41,326,32,629,15869,11.99
Client_074,Fashion,Instagram,Static,Promotion,Friday,9,5665,566,28,36,54,162,5,4771,6542,8.05
Client_075,Beauty,Instagram,Reel,Promotion,Sunday,14,23710,1757,131,104,85,479,18,2752,20797,28.46
Client_076,Fitness,YouTube Shorts,Carousel,Promotion,Friday,16,22565,1906,49,269,255,480,58,2261,43719,41.84
Client_077,Food,Facebook,Carousel,Promotion,Thursday,14,8120,471,16,81,54,136,5,1199,5262,8.22
Client_078,Fashion,YouTube Shorts,Static,Customer Story,Sunday,10,20173,2342,125,321,199,541,77,3964,88047,52.67
Client_079,Technology,YouTube Shorts,Carousel,Customer Story,Monday,17,11070,986,32,63,131,157,19,2352,23959,16.88
Client_080,Fitness,YouTube Shorts,Static,Tips & Tricks,Monday,17,9528,520,34,88,40,90,4,3783,2446,9.33
Client_081,Beauty,YouTube Shorts,Reel,Product Education,Saturday,16,24696,1749,51,158,132,704,71,930,30328,35.08
Client_082,Fitness,Instagram,Static,Product Education,Wednesday,15,15115,1054,38,156,55,238,15,4486,14361,18.12
Client_083,Fashion,Instagram,Carousel,Tips & Tricks,Monday,8,11698,1158,76,101,61,203,16,1558,14586,19.55
Client_084,Beauty,Instagram,Static,Tips & Tricks,Sunday,18,13284,1428,32,74,201,352,34,3813,36605,25.01
Client_085,Technology,Instagram,Carousel,Product Education,Wednesday,10,20076,2264,57,361,151,395,36,3742,43617,41.73
